Date,Close/Last,Volume,Open,High,Low
12/26/2025,$273.40,21521800,$274.16,$275.37,$272.86
12/24/2025,$273.81,17910570,$272.34,$275.43,$272.195
12/23/2025,$272.36,29642000,$270.84,$272.50,$269.56
12/22/2025,$270.97,36571830,$272.86,$273.88,$270.505
12/19/2025,$273.67,144632000,$272.145,$274.60,$269.90
12/18/2025,$272.19,51630720,$273.605,$273.63,$266.95
12/17/2025,$271.84,50138740,$275.01,$276.16,$271.64
12/16/2025,$274.61,37648630,$272.82,$275.50,$271.79
12/15/2025,$274.11,50409080,$280.15,$280.15,$272.84
12/12/2025,$278.28,39532890,$277.90,$279.22,$276.82
12/11/2025,$278.03,33247990,$279.095,$279.59,$273.81
12/10/2025,$278.78,33038320,$277.75,$279.75,$276.44
12/09/2025,$277.18,32193260,$278.16,$280.03,$276.92
12/08/2025,$277.89,38211830,$278.13,$279.6693,$276.15
12/05/2025,$278.78,47265850,$280.54,$281.14,$278.05
12/04/2025,$280.70,43989060,$284.095,$284.73,$278.59
12/03/2025,$284.15,43538690,$286.20,$288.62,$283.30
12/02/2025,$286.19,53669530,$283.00,$287.40,$282.6301
12/01/2025,$283.10,46587720,$278.01,$283.42,$276.14
11/28/2025,$278.85,20135620,$277.26,$279.00,$275.9865
11/26/2025,$277.55,33431420,$276.96,$279.53,$276.63
